Review,Rating,Platform
what a load of crap no wonder they sell this for 2-3 dolars it doesnt even worth that much,0,XBOX 360
Halo 4 is a good game yes but the thing is that u think that they should let you pick what gender you want to be and not just be a man from the start. yes there are girls in the game but they don't really do much they are not in the battlefield and a women is one of the cause of the problem. I think that if it was a men then you would see it from a different perspective .,0,XBOX 360
"Halo, What a great series! I feel in love with Halo for it's story, music and solid FPS gameplay. It's similar to Half-life in that way. A Great FPS story-driven game. Sadly, 343i decided to throw the story out of the window. The plot in Halo 4 is there to justify the visuals and that's it. it's contrived and lazy. It doesn't respect Halo lore that came before it. It a sad day when something you love becomes a cash cow. (Looking at you SW: Force Awakens). Halo 4 is a beautiful game, can't take that away, sure. BUT it falls flat on it's face in every other aspect. Adding sprint and crouch doesn't count as innovative gameplay. It's the worst kind of action flick. It goes for dazzling beauty with big ""epic"" scenes with little sense. The campaign which is the main reason Halo is such an awesome beloved series is the weakest part of this game. The Good: - Beautiful - Sprint/Crouch The Bad: - Soundtrack - Story *Doesn't take a genius to see that most 9-10 reviews are simply fan-boys. some would even say the campaign/story isn't that good but still give it a 10.",4,XBOX 360
"Halo 4 is such an immense diversion from what the Halo franchise once was, with the new enemies proving boring and endless copy-pasted 'boss fights', it's truly amazing to me, that anyone in QA allowed this dumpster-fire **** to fall flat so immediately out the door. Truly, Halo 4, marked the beginning of the end of a beloved franchise, for many of those, who once said - they loved Halo. Though, at least the visuals and sound-design is alright.",3,XBOX 360
"It changes a lot as Halo 3 deliveries that is gold, the end in my experience is the worst I have played since in previous deliveries the real finals stressed you is really disappointing",4,XBOX 360
"Terrible. Banshee and so many vehicles that ruin the maps. Valhalla was a great map in Halo 3, but Ragnarok is plagued by the Mantis and Banshee. The flag is very stupid and the menu ****. The perks are annoying and overpowered. The DMR is way overpowered compared to BR and Carbine. Overall Reach was a 7/10 for me, but this is even worse...much worse.",0,XBOX 360
"Not the best story, but this game got me into the Halo multiplayer, and I loved it.",0,XBOX 360
"halo no longer has a story. It became repetitive and really boring to play. Unfortunately, it is a brand that is slowly dying. old fans will always be interested in the title but in the last chapters only disappointments.",3,XBOX 360
"Says Halo when you launch the game but is in fact, not actually a Halo game",0,XBOX 360
"Insane charts, but the gameplay had few changes continuing horribly crude, jumping, no cover, and etc. unfortunately a game is not made of graphics, nor will I play the next because I know this will remain horrible as it has always been",0,XBOX 360
The campaign is dry as a desert and a step back from all the other games it’s only thing good is the graphics which are beautiful and the multiplayer is OK but every is kinda bad,1,XBOX 360
"As a fan of Halo since the very first game, Halo 4 was a big disappointment for me... I didn't like the story at all. I was sad to say that my Halo journey would end with Halo 4...",3,XBOX 360
"I still don't get it that many players actually love this garbage. Story was awful, new gun was not that good, mood was just so dark and strange that I've not thought this series is Halo. Stupid piece of junk and anybody love this.... Go and play. Yeah, but don't think that 4 is the greatest. I've beated this peice of crap on Hero so don't tell me 'Haven't you played game?'. And you who said 4 is better than whole franchises, Go and **** 4",1,XBOX 360
"Although the gun-play and visuals are great, everything else falls apart. The story and characters felt bland and lost any interesting elements from the previous games. The new enemy type looked dull and generic, and the villain was awful. I miss the original Halo games already.",3,XBOX 360
"Utter **** since Bungie left. I would have given a negative score if possible, just to stop one of these fan-boy's reviews from being taken seriously. I implore you M$oft, just give up on halo and let it die in peace",0,XBOX 360
"I'm giving this a **** because compared to the other Halo games this one is garbage. Everything unique and fun in the Halo series was taken out in favor of popular elements from other fps games. They managed to jumble everything together into a game that just doesn't play well. It's like Call of Duty with exo suits... which is actually another game that exists, and could even be better than Halo. Breaks my heart. The only positives are the graphics and campaign was pretty good in the story department, but still a complete departure from the normal open style of Halo campaigns.",4,XBOX 360
"I hate to use the word ""overrated"" but that may be the best way to describe Halo 4. Campaign: I hesitate to call Halo 4's campaign a mixed bag as the bad outweighs the good by a notable margin in my opinion. Halo 4's story is good and the ending is genuinely emotional (at least if you played it before Halo 5 came out) but the gameplay often falls flat on its face. But before we get to that lets address the elephant in the room, the art style change. This game looks awful in comparison to Halo 3 and its all because 343 decided to change Bungie's art style. Master Chief looks 3x as bulky as he did previously, elites look and sound brutish and dumb, grunts are too ugly, Cortana is overly sexualized, Forerunner structures are overly detailed and boring, so on and so forth. Now onto gameplay. Halo 4's campaign has two main problems: stupid cinematic QTE moments that ruin pacing and serve as the final boss, and the Prometheans. The Prometheans replace the Flood in Halo 4 and they're boring bullet sponges with only one strategy for taking them down. Shoot them till they die. The crawlers are the only good ones because they go down with a single headshot and they're satisfying to kill. The Covenant are fine but brutes, drones and skirmishers are gone. This game is also a complete trainwreck on legendary. You also get to fly a pelican but it **** because you only fight phantoms. The soundtrack is pretty good, though some tracks feel a little too much like Star Wars or Mass Effect rather than Halo. Multiplayer: The multiplayer is terrible. Halo 4's multiplayer has customisable loadouts with perks and really bad killstreaks that are just power ups and power weapons. All the returning armour pieces look inferior to Reach's and only a handful of the new ones are decent. Honestly, the multiplayer is so boring that its not even worth talking about in detail but I will say that forge **** and so does the physics engine. Spartan Ops: Spartan Ops is Firefight's replacement. Its pretty much just a longer campaign and it suffers from all the same problems except here you get to to play as your own spartan, earn XP, and can respawn infinitely regardless of difficulty. Theres not much more I can say about except that it has a decent story and really good cutscenes. Overall, Halo 4 is an incredibly disappointing game and I would go as far as to say its bad. Though I will give it credit for one thing: it snapped me out of my Halo fanboyism.",4,XBOX 360
"No merce nor a poor 3, The game is boring and monotonous, the levels are poorly made, the artificial intelligence coverings and the placement of weapons are bad, The music is not very good although it has two or three tracks that are quite good The others scratch the absurd, and the story is very badly told, I feel it could have been better, even spartan ops has a better story. I put a zero because I refuse to accept this as a halo.",0,XBOX 360
Halo 3 tied all the loose ends in the Halo lore together then halo 4 throws that knot in a blender and gives it the middle finger.Also i found the multilayer to be mediocre and the forge is no where near as good as the forge in other halo games ive played and completed every single halo but im not planning on purchasing 343's next halo game.,0,XBOX 360
"I had never been more hyped for a game in my life. And I have also never been so let down. Halo 4 delivered something that made me feel like I was playing call of duty with Halo weapons. Where did they go wrong? To start things off I can honestly say that Halo 4's multiplayer reminded me of a CoD game. It seems that 343 was trying to emulate some of the features like sprinting and custom classes into this game, which did not work. Speaking of things that did not work there is that ever so simple ranking system that lacked creativity and sense of accomplishment. 1,2,3,4,5........... Ranks going by numbers to me was always something I hated. It took absolutely no skill to even level up, all you had to do was play the game unlike Halo 4's older brother Halo 3 where skill was implemented into your overall rank. But overall the multiplayer was bland and I quickly lost interest in all of the new abilities and gadgets. Ahhh forge, probably the most bittersweet aspect of the game. Halo 4's forge introduced great new abilities like the ""snap"" feature which I absolutely loved. It also introduced some great maps to build on as well as tons of options to forge with. However that does not save it from it's errors. Dissapointment stuck me hard when I found that there was no UNSC flying vehicle. Only thing that was even capable of flying was a banshee. But that is nothing compared to that annoying intolerable ""generating lighting"" screen that pops up when you exit the forge ball. Now I am not sure about you guys but this completely killed my love for forge. Even though it was those few seconds I had to wait after only a few minutes of trying to build something I couldn't take it anymore. It was just so annoying. The campaign. I am actually completely neutral on this one. I did not think the campaign did an amazing or terrible job of moving along the story, I just think it moved it along. The game play during this was fun I must say but it didn't truly catch my eye. So with this I score Halo 4 a 4/10. It was an extreme let down to me personally and I really hope that 343 doesn't screw up with Halo 5.",4,XBOX 360
"As a major fan of the Halo franchise, I was extremely excited for this game, as at the time of it's announcement Halo 3 was (and still is) one of my favorite games ever made. So, how did 343i do witha follow up? Horribly. The game feels like a clone of Call of Duty, with aspects of Metroid Prime, and some ideas from Halo past. The game starts with Master Chief waking up from cryo-stasis, as shown in Halo 3 and Halo Legends. He then finds out from Cortana that she found an odd planet. A couple of minutes later, they find out the planet is of Promethean origin. I'll leave it there, in case anyone reading this wants to play it. As for the multiplayer, this is where the aforementioned Call of Duty kicks in. The game now relies upon a customized load-out system that you make yourself for multiplayer. While the idea is nice, it was poorly executed, as there are not as many weapons or customization options in Halo, making it feel to flat. In addition, there are now rewards for getting a bunch of points in a row. Sound familiar? Because it is extremely similar to the Kill-Streak system from Call of Duty, except in this you chose between a power up, weapon, or armor ability. In all, Halo 4 was a major disappointment to me and, according to the user score, many others. 4/10 is the highest I could give this game.",4,XBOX 360
"Dear all, after recently giving in to try 343s recreation of the Halo FPS and playing halo since the first game I think it is worth giving a review of this somewhat lacking game. First of all the campaign story feels unremarkable and has certainly lost some of the implied scale of the previous trilogy, quick time events, an unremarkable antagonist and a plot held together by string all work to undermine all the Story of the game. Each character acts to break immersion from the game, for example the librarian tells the Masterchief that she planned his coming many millenia ago, now this breaks the story, how can one individual anticipate the multitude of factors over those years, both genetic and environmental, acting as everything is predetermined undermines the entire experience and makes you want to put down the controller. Captain Del Rio is a complete jackass and the MasterChief licks his boots like some dog, it seemed like 343 forget that this game is meant to fulfill the gamers needs and wants and not be this quasi realistic drama where Cortana, a character I loved to hate in all previous titles, is humanised, I couldn't care for her before and especially don't now. Spartan Ops is repetitive on the same five maps and offers nothing new to the franchise, both it and the campaign seem to be very similar: Go here, Press X, Kill enemies, Press X, Listen to female narration and terrible commentary, end scene. Multiplayer is unbalanced and far from previous Halos Arena style combat, Everything needs to be more competitive. Upon writing this review I have completed this game solo on legendary, have a 1.9 K/D on War Games and completed every Spartan Ops episode that came with game. My final point is this: it seems like Halo 4 brings an end to the creativity of previous Halo titles, and fails to make an emotional impact unlike Halo Reach. I would say this game is regression to the generic first person shooter and not what Halo is, after sinking many hours into this game I can say it is worth a play and is fun but do not expect the same re playability the older games offered.",4,XBOX 360
"Halo 4 is, on its' own, a decent game. However, as a Halo game, it doesn't match up to its' predecessors. The gameplay is more or less solid, to its' credit, but 343 thoroughly butchers the lore of the universe for Halo 4 as well as in the novels surrounding it. Considering the barely tolerable characters like Sarah Palmer, whom is essentially a misogynistic Sergeant Johnson wannabe, the plot is incredibly cringeworthy, both for Spartan Ops and campaign, with lore issues as well as the cringeworthy acting for the ""romance"" or whatever nonsense that Chief and Cortana get into. Multiplayer is pretty solid in the basics but gets to be pretty awful when you interact with any of the call of dutyied game systems added in like prestiege armors or whatever the garbage is that they added. Multiplayer armor designs are also some of the worst ever, resembling power rangers more than military hardware. Most of the helmets have **** visor designs, or look like wannabe copies of Recon helmets. Mix in the bizzare lack of a codplate and loads of greeble-ey design work and you get armor that generally looks awful. Overall, better off renting this game if you can, cause it's not worth buying for any long term interest.",4,XBOX 360
"I've played previous Halo games that I enjoyed, but this one is not very good. Levels were boring, no new features or game perks. The AI was predictable, and after figuring that out the missions became easy to finish.",4,XBOX 360
"This was a great game. However the reason that i am giving this game such a low review is because they got rid of firefight!!! Me and my sister had hours of fun through the halo series playing firefight!!! If spartan opp is the same thing then it still stinks because i just cant play it. I have to get Xbox live or something. I don't like this because of what happened after the update. I got sent back to sr1 after updating!!!! This ruined the game for me. Also during forge, there was a problem. I would be in forge mode and then i would turn back to spartan but i would take forever to make the screen load back.That was annoying. after i got sent back to recruit, i stopped playing this game. Not cool 343. not cool.",3,XBOX 360
"By far and large the worst Halo game I've ever played. It's definitely in the top 5 worst shooters I have ever played. I loved Halo Reach and made sure to pre-order this game. It looked like it had promise. Know who else looked like they had promise? ****. And look what happened because of him. Halo 4 is a broken, boring pathetic mess that isn't worthy of a 0/10. The story is predictable, the final boss is.... a single quick time even that gives you 20 seconds to press the button, the controls handle like ass, and the game runs like it was programmed on Windows 95. Sure, it has great graphics, but its horrid aesthetic makes it look like the fantasies of a bisexual 13 year old brony. I'm not kidding when I say that it took longer to install the **** game than it did to melt the disk in my microwave. Not gonna be buying another 343 game after this pathetic **** mess. The campaign is at least acceptable, but dear god.. The multiplayer. Halo has always thrived on being a unique experience. Thus, the ""Combat Evolved"" part of the first Halo's name. Now, it's more like ""Halo: Call of duty RippedOff."" Know why? It's a Call of Duty clone with a sci-fi skin, but it has vehicles. Unbalanced vehicles that are easily stronger than 7 assault rifles in one. Need proof? A railgun mounted truck than can instantkill almost any other vehicle from the end of the map with splash damage the size of a tank shell. The guns all have no recoil, they are 3-4 hit kills but fire way too fast, sniper rifles are overpowered as **** there is a ""killstreak"" in the form of ordinance drops containing... more overpowered weapons! It's Space CoD but badly executed. The matchmaking is worse than Titanfall's, as you'll have a team of level 1's up against a team of level 130's. This isn't mentioning the hackers, either. Over the course of 5 games, I saw 8 hackers. 1 noclipper, 3 godmoders, 2 people spawning in weapons or items and 2 who just nuked the map. That's **** PATHETIC. The soundtrack is a generic orchestra track ripped straight from Silence of the Lambs. I have sincerely seen flash games with better music. Spartan Ops, which is essentially just the campaign that removes story in order to make you move from point A to point B and shoot **** I learned more about Halo's backstory from one 3 minute cut scène than I did the entire 10 hour session of Spartan Ops. Here's a bit of a TL;DR Graphics: 7/10. Great graphics but ****ty aesthetic. I think this was the best part of the game. Story: 6/10. Generic and boring BUT innovative and new. Gameplay: 3/10. Go here, shoot thing. Nothing beyond this besides the occasional vehicle section with horrible controls. The UNSC vehicles feel like the tires are made out of liquid nitrogen, and the Covenant vehicles feel like there are no longer laws of physics. There are no forerunner vehicles, sadly. 343 was too cheap and just decided to rip all of its vehicles out of Reach, except for the aforementioned overpowered railgun truck of death. Multiplayer: 000/10. One zero wasn't enough to describe this **** mess. ****ty matchmaking that has you waiting for 10 minutes to find a game among 3000 other players (it tells you how many people are online in a specific gamemode) repetitive and boring gameplay where the semi-auto and burst guns are overpowered, any explosive is ridiculously overpowered and sniper rifles are gamebreaking, overpowered vehicles, nonexistent objectives besides ""Take this flag! It will help the UNSC cause for some reason."" I think Modern Warfare 3 did multiplayer better. This is inexcusable. Dialogue: 6/10. No real complaints. A lot of the lines sounded like they were made by a 2 year old, but halo isn't about dialogue. We're here to kill aliens like the space KKK. Soundtrack: 4/10. It works. It fits decently, but it isn't very good. That's basically it. I'd take any FPS game over this pitiful excuse **** made by a company that doesn't give a damn about its customers. -Someone whose favorite console is the Xbox 360. (If this were ported to PC, it'd get an 8/10. Less hackers, better controls, better frame rate, better community. You name it, PC could do it better.) You know, I loved the first two halos to death. I personally think Halo: Combat Evolved is a **** masterpiece. So, I was disappointed to find that ODST was better than this. And ODST was some shiiiiit. I'll have to do my research before I buy into another Halo game. That, and hope I don't get matched up against a squad of hackers and a squad of people playing Halo 24/7.",0,XBOX 360
"What a disappointment, I've been a long time Halo fan, and in my honest opinion this is the worst in the series. Yes Halo Wars is better than this crap. The graphics and gameplay are save this game other than that I wouldn't play this. If they didn't change the Flood game mode I would have given this game a 5 because Flood was where I spent most of my time until they added the saw, assault rifle and more to the mix because then what's the challenge this game just ****",3,XBOX 360
"It would go faster to just write the positive aspects of this game because that list is very short. Generally good visuals, a lot of weapons to choose from, some new and fresh enemies. That's pretty much all that i can think of as positive. This game feels so cheap and just poorly made especially if you have in mind the budget they've had for making this game, they had the chance to make a splendid sequel which in my opinion is something they failed very very bad at. There are so many aspects which are full of flaws. Items and weapons disappear out of nowhere, once you drop a weapon or if a enemy drop a weapon it disappear if you turn your back away, it even happens while it's on screen. There is no depth in the story and it kind of doesn't feel like halo at all. The game is very repetitive and also very short, sometimes it feels like they've used the same maps but just rearranged some things. In Spartan Ops is the same maps but just playing them in reverse. The respawn system in Spartan Ops is also crap, you literally respawn where you die which puts you in a spawn kill loop where you are surrounded with knights that simply kill you once you respawn and i just laughed at how poorly made this game is. You can't hijack banshees which i tried on several missions which also adds up on the negatives. When you buy the game, the only thing that is available is the campaign. Spartan Ops and all other things in Halo 4 requires Gold membership which is **** So technically when you buy the game you only get to play the short campaign and if you wanna play more you have to pay monthly to do so. I looked forward to Halo 4 and looked upon 343 industries as a new chapter who had the possibility to fix all the bad stuff with the previous games like the bad AI for instance, but instead they kept all the bad stuff and added some more just for the fun of it. I feel awkward on behalf of 343 industries who, with all the resources, people and finances to release such a disaster. I have been a fan of halo series and was really hoping for improvement but this is the end of the line for me. I'm not buying any other Halo games in the future, there are SO many better games to spend your money on which won't make you feel robbed.",0,XBOX 360
"Game was bad felt like I was in a Micheal Bay Movie, ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd",0,XBOX 360
"To all of you giving ""heartfelt"" tens, I honestly cannot say I agree with you. I feel like your sheer amount of overhype for this game made it ""good"" for you. As a devoted Halo fanboy, I feel justified in my reasons to not like the game. Yes, the graphics quality was decent. That's basically the only thing I can hand this game. The soundtrack, story, characters, and multiplayer didn't feel like Halo. In my honest opinion, having Chief be that outspoken really didn't fit his original ""silent/speaks when he has to"" persona. The story was short and unsweet and really betrayed the previous games and the canon in general. For one, the Covenant aren't supposed to be back! They were defeated in Halo 3, if anybody even paid attention. Sure, there could be rogues running around, but they wouldn't be ELITES of all things in their ranks! It's like a freakin' time paradox. It simply shouldn't have happened. Also, the fact that the Forerunner, Didact, was still alive, goes against all of the lore and backstory that Bungie built up, and that just doesn't sit well with me. The death of Cortana was a predictable cliche that we all knew was going to happen eventually, especially since half the Halo fanbase knew Cortana reached seven years of service in Halo 3. There also were a few plotholes, but what videogame doesn't have at least a tiny one? All in all, it didn't even get close to the privilege of licking the boot heels of Bungie's masterpieces.",0,XBOX 360
"While it wears the Brand 'Halo' on it, it really just feels like an 'okay' game. The single player mode didn't meet my expectations. Other than a few parts in the single player, the campaign was really boring and forgettable with no noteworthy locations that caught my eye(unlike the previous halo games, this was a first). It's obvious that microsoft is pushing for this to be an 'online experience' by locking away the spartan ops campaign only to those who have an xbox live subscription just rubs me the wrong way since the game lists it even though I haven't signed on Xbox live in months. I really feel like I didn't get my moneys worth this this title and since half of the single player experience is locked away because of microsofts greed I don't plan on purchasing another halo title until this predicament is sorted out, which judging by microsoft's obvious greed it will never happen...",0,XBOX 360
"I believed the hype IGN said about the newest Halo game, calling it the best Halo yet! Hype works people, it really does and they know it. The hype got to me so bad that I ignored one of the most obvious things there is to this game, it is not made by Bungie. Hype works even better on people who don't have what it takes to spot all the terrible flaws that certain product can have, in this case, Halo 4. Everything that made you a Halo fan is not to be found in this new entry to the franchise. This game is terrible, a true stinker. Bungie must be pretty angry for what they have done to their creation. After only two days, I traded this turd back to Gamestop, kept the case though, it's the only cool thing about this new Halo.",1,XBOX 360
"I have been playing Halo since Halo: Combat Evolved... Please do yourself a favor and do NOT buy this game! Do not listen to the positive reviews. 343i just killed the multiplayer, ""CoD-ifying"" it to steal players from its rivaling game, while the Halo player-base was awaiting for something to surpass Halo 3. However, not only did 343i fail in obtaining a CoD-like player-base, but they also managed to lose and disappoint many loyal fans of Halo.",0,XBOX 360
"This game absolutely kills the Halo franchise by not only killing the Halo story but ruining everything else in the story. All of the guns were redone but the UNSC weapons are completely useless, and it gets better, the new Forerunner weapons are a copy paste of the UNSC weapons with little to no good atributes. The story is too emotional for a Halo game and the threat of Cortana dieing is the worst part. The final boss completely kills the game because instead of the Halo 3 boss battle or the newer Halo Reach standoff, guess what all of the fans get? A **** quick time event that completely kills the Franchises amassing endings. Hey, do you like being able to customize your equipment and change your symbol? Well to bad because the new multiplayer function doesn't allow you to customize it, unless, you level up which if you have no friends to play with or now Xbox live gold, is hard, you better like that armor you're wearing.",2,XBOX 360
"This game completely shocked me, It was a massive disappointed, going from halo 3 to halo 4, it was like chalk and cheese. The maps had no depth to them and the online game play was very average. I gave it such a low rating because of how good the prequel was. Halo 3 10/10 ----> Halo 4 4/10 Hopefully halo 5 will redeem the series otherwise I will not be buying an xbox 1 as that is the only exclusive I am interested in",4,XBOX 360
"The Halo series we know and love is dead. Halo 4 is just a Call of Duty clone. With a 6 hour campaign and no Firefight Mode. The campaign is not creative at all. Promethean's talk about a Mass Effect rip off. It's funny and sad that Halo has to copy other game to be good now. Years ago it was the other way around. Half of this game is locked for online play which is very dumb, Pay to win OK.........errrrr No!. Spartan Op's ****. Thanks 343 for ruining one of my favourite game series. I'm very surprised this game is getting good reviews, don't listen to them this game is trash. No real Halo fan would accept this pile of ****. I'm going back to playing the infinitely superior Halo: Reach and Halo Combat Evolved.",0,XBOX 360
"With astounding graphics, immersive campaign, addicting multiplayer, and a surprisingly fun spartan ops mode, halo 4 is a fantastic entry to the halo franchise, and arguably one of the best halo games ever.",4,XBOX 360
This game is a disgrace to the series. Please support Halo 2 Anniversary. It's our only hope as 343i has let us down. Do not buy Halo 5 because it's clear they have killed halo. Only support past title remakes!,0,XBOX 360
"disgrace to the franchise. halo 2 anniversary is the only hope. bxr and button combos must return. halo 4 killed our community and destroyed all hope for 343. do not buy halo 5 or support anything, but remakes from bungie games.",0,XBOX 360
This game is awesome great job valve. Very good game. Play if you. Have ps3. And pc,10,PC
"Portal is a great game if you like puzzle games and mysterious stories. The game has very good gameplay mechanics and a good narrative, but it can have some bugs that force you to restart the game! However, the game is great and very enjoyable to play!",8,PC
"A very good game with very good mechanics, sometimes a little short but very very good, in addition to 1 euro on Steam, what has a euro now?Nothing apartment this very good game (promo)",10,PC
"Fun Puzzles, Great platformer, Interesting Lore, GLaDOS's sassy personality is also very rememberable.",9,PC
"From its innovative ideas, elaborately crafted puzzles, lovable and unique characters who add color to the otherwise inorganic tests, to its restrained yet skillful storytelling and effectively used soundtrack – in every aspect, it is truly worthy of being called a masterpiece.",10,PC
One of the best puzzles and ingenuity games that can be played to the present,9,PC
"Very short and more of a tech demo or proof of concept for its later sequel, but obviously massively impactful on gaming as a whole and on gaming culture. Initial dawning realisation that GLaDOS is sentient and malevolent, and when you first escape the boundaries of the testing chamber, were amazing. I'll never understand why lines like ""The cake is a lie"" became the over-memed repeated jokes when there are infinitely funnier and cleverer pieces of dialogue in this game, but so it goes.",8,PC
"Portal is a timeless classic that introduced revolutionary puzzle mechanics and an unforgettable atmosphere, combining minimalist graphics with the hilarious, sinister presence of GLaDOS. Its gameplay encourages creative problem-solving, offering a unique experience in each test chamber. Despite its short length, the game remains highly rewarding, with additional challenges that push players' skills. The impact of Portal on game design is immense, influencing countless titles and spawning a brilliant sequel. Even years later, it remains one of the most well-crafted and influential games in history.",10,PC
fun puzzles and good villain. short and fun. cool and creative mechanic. It sets a good vibe.,8,PC
Awesome depressing and epic game. It lasts 2.6 hours but you should try it.,10,PC
Portal 1 is a brilliant puzzle game with innovative mechanics and a darkly humorous story.,8,PC
"I have never seen a bad valve game, this game is even very good, I recommend if you like games with puzzles, because it is a game full of puzzles until the end, very good, despite being short is a wonderful game!",10,PC
I just finished Portal and love it. It is short game but if you are busy and dont have much time to spend it is good for you. The game lasted 3 hours.Game mechanics made me suprised because i have not seen this concept before. It is 2025 and the game is still entertaining. You should give a chance.,9,PC
The truth is that it is a very entertaining game of Puzzles.The only thing in 2025 shows that it is old.,9,PC
"Absolutely loved this game! Funny, fun, just the right amountof challenge. Honestly already worth buying a gaming computer!",9,PC
"Short and simple. I don't mind how short this game is because how much it packs into its ~2 hour run time is fantastic. It's funny, its incredibly enjoyable, and it might have one of my favorite speedrunning scenes of all time.",9,PC
"portal 2 is better, but despite it's short duration of the game, i'ts worth trying it out 100%8/10",8,PC
"8.1 Excellent game of puzzles, nothing beyond that.But still, most puzzles are easy if you remember all the skills you have acquired at past levels.Regarding the story, only ""gears"" in the end and in a very good way, including making room for a continuation (Óoóóó is Portal 2, obvious captain).Overall gameplay is good and fun and the story too",8,PC
Another classic from Valve. Excellent game mechanic involving connected portals that can be placed on specific surfaces to solve puzzles. A little on the short side but still an excellent game.,8,PC
un gioco con un idea geniale un puzzle game con alla base una delle idee più geniali della sua epoca e non solo. 9.4/10,9,PC
Ein Meisterwerk und MUSS Für Jeden Gamer Das Spiel Hat zwar nur wenige Elemente ist aber Auf KEINEN Fall Langweilig oder eintönig !,10,PC
"there's nothing wrong with it. I just cannot bring myself to give it a 10. If I give portal 2 a 10 I cannot give portal 1 a 10, 2 is just so much better in every way that it doesn't even feel like a competition",9,PC
"The game very good, the challenges made me want to suffer from youth alopecia",9,PC
"Portal is the game of my life, but despite this it is not perfect.I love this game, especially because of your villain's humor but the negative point for me is the lack of variety in puzzles, most of the breakheads are made in a very similar way, which can get sick a little.",9,PC
"I wanted to try it in 2024 because it was one of the classics. And i must say although the start was a bit slow, the games was really fun. Very creative job for just a simple mechanic. My score is an 8 because the game is as i said a bit slow at the start, but the end is really good. The community is healthy and if i played this in 2007 I would rate it a 9.",8,PC
"Portal is actually a very nice game, compared to other Valve games where adrenaline is high, it is a calm game and it is about solving puzzles. The puzzles are also easy. However, there is something like this. It is not enough to understand some levels. In some places, you have to hit the portal at such an angle that it makes a level a torture. As I said, there is no problem other than that.",8,PC
"It is a good puzzles game, Ami opinion will never get bored, very weno, 10/10 yes",10,PC
Such a simple but fun game that has interesting puzzles and utilizes its main feature in many ways just allowing it to be all but better in everyway with the most surprising thing being that its just an addon for the orange box which shows how good valve can be.,8,PC
"I saw 99% reduced in Steam and I thought, let's take a while of play ... I really like to start games knowing as little as possible of them and of course this saga was a discovery ... fun, good puzzles, good story and good end.Must play",10,PC
"Portal is a game that pleasantly surprised me from the first moment.Although I had already heard about him, I had never tried it before, and I must say that he left me impressed with his innovative approach in the **** that attracted me the most was how the game constantly challenged me to think creatively to overcome the levels.Each puzzle was like a fresh challenge, inviting me to explore different solutions and strategies to make my way through the portals **** Well, history is not the central point of the game, it provides an interesting background and complements the general experience.Although simple, add depth to the world of the game and provide context to the tests you face as **** Simple visual style but captivating fits perfectly with game mechanics.Although the game is already a few years old, its graphics still support themselves and contribute to an enveloping experience and **** As for the duration, it is true that the game is relatively short and took me less than 4 hours to complete it.However, every moment was a rewarding experience and left me wanting more, anxious to immerse me in the **** summary, Portal is a game that challenges you to think creatively while immersing you in a world of portals and puzzles.Although the story is simple, it complements the game experience, and its exceptional gameplay will surely leave the players wanting more.I can't wait to try portal 2 and continue exploring this fascinating universe!",9,PC
"This is my favorite game, I think the game puzzles are incredible, I had a lot of fun playing, I would definitely recommend this game to everyone who has the opportunity, I recommend it.",10,PC
a bit short but a great start for the portal franchise it isnt too bad for a start but could be better.,8,PC
"A real classic, which made Valve as a world company, must-play for everyone.",8,PC
"Ah so fun to play Portal 1,2 in a binge. It's fun now, but how sensational was it when it first came out?",9,PC
"Ciekawy koncept na gre, świetnie wykonany. Nie ma co tu więcej mówic co nie zostało juz powiedziane",9,PC
The concert for portal is one of the best not gonna lie and the whole portal thing was made by 10 people but it's super depressing,8,PC
"It is so story-rich and puzzling, it's good the first time, then better the next! Buy it with the orange box.",10,PC
A brilliant idea that turned into a really unique puzzle game that becomes the poster child of it's own genre,8,PC
"Unique puzzle game which, even though it's short, is sure to test your problem solving skills in the latter stages of the game.",8,PC
"Tremendous game.The different puzzles are increasing their difficulty as we move forward, and how much its difficulty the more it is to absorb the game.History of video games.s",10,PC
"This is another example of Valve being a leading innovator in the industry. At the time there was nothing quite like Portal and now its hard not to see its fingerprint on most modern puzzle games. Smart, funny and completely enjoyable.",9,PC
"Great game, I loved it. I played Portal 2 first when I was a kid so I have more experience with that, but this had nice puzzles and will keep you satiated with its mechanics and story the whole way through.",8,PC
"Great Enjoyable Puzzles, But Sadly It Has No Replayplity Value, Glados is A great Protagonist, it's Very Entertaining Game.",8,PC
"Impossible to figure out just how much Portal has bled into literally every other game made since. Actually insane that a game almost 20 years old is still just as good as when it was released. If released today, it would of course be rated much MUCH lower, but that's an impossibility because games today owe their success to portal at least to some extent.",10,PC
Lived up to the hype. The end might have been the best part and the dialogue at the end was hilarious. Even the credits were entertaining. A piece of PC gaming history for good reason.,8,PC
Masterpiece .,10,PC
